ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,url,Code_insee
Guenouvry,2427.0,1239.0,3395.0,1680.0,672.0,2855.0,9.8,6.0,15.2,9.9,6.0,14.1,https://www.meilleursagents.com/prix-immobilier/guenouvry-44290/,44067
Guenrouet,2525.0,1485.0,3533.0,1932.0,773.0,3399.0,11.4,7.9,18.5,10.4,7.4,13.1,https://www.meilleursagents.com/prix-immobilier/guenrouet-44530/,44068
Notre Dame de Grace,2525.0,1485.0,3533.0,1932.0,773.0,3399.0,11.4,7.9,18.5,10.4,7.4,13.1,https://www.meilleursagents.com/prix-immobilier/notre-dame-de-grace-44530/,44068
Guérande,3986.0,2470.0,5646.0,4354.0,2206.0,7412.0,14.0,9.5,19.9,14.4,8.6,19.5,https://www.meilleursagents.com/prix-immobilier/guerande-44350/,44069
Clis,3986.0,2470.0,5646.0,4354.0,2206.0,7412.0,14.0,9.5,19.9,14.4,8.6,19.5,https://www.meilleursagents.com/prix-immobilier/clis-44350/,44069
La Madeleine,3986.0,2470.0,5646.0,4354.0,2206.0,7412.0,14.0,9.5,19.9,14.4,8.6,19.5,https://www.meilleursagents.com/prix-immobilier/la-madeleine-44350/,44069
Saille,3986.0,2470.0,5646.0,4354.0,2206.0,7412.0,14.0,9.5,19.9,14.4,8.6,19.5,https://www.meilleursagents.com/prix-immobilier/saille-44350/,44069
La Haie-Fouassière,3264.0,2267.0,4503.0,2766.0,1340.0,4100.0,13.1,9.6,17.7,13.1,8.7,16.9,https://www.meilleursagents.com/prix-immobilier/la-haie-fouassiere-44690/,44070
Haute-Goulaine,3515.0,2524.0,4525.0,3165.0,1324.0,4972.0,13.4,10.7,16.8,14.8,11.6,18.7,https://www.meilleursagents.com/prix-immobilier/haute-goulaine-44115/,44071
Herbignac,2768.0,1454.0,5536.0,2872.0,1149.0,4725.0,12.7,8.4,18.3,12.8,7.6,15.5,https://www.meilleursagents.com/prix-immobilier/herbignac-44410/,44072
Pompas,2768.0,1454.0,5536.0,2872.0,1149.0,4725.0,12.7,8.4,18.3,12.8,7.6,15.5,https://www.meilleursagents.com/prix-immobilier/pompas-44410/,44072
Indre,3003.0,1634.0,4341.0,3122.0,1370.0,5022.0,13.4,10.8,19.3,15.5,10.6,21.5,https://www.meilleursagents.com/prix-immobilier/indre-44610/,44074
Haute Indre,3003.0,1634.0,4341.0,3122.0,1370.0,5022.0,13.4,10.8,19.3,15.5,10.6,21.5,https://www.meilleursagents.com/prix-immobilier/haute-indre-44610/,44074
Issé,1742.0,920.0,2745.0,1445.0,615.0,2673.0,9.7,5.6,15.2,10.6,7.8,13.9,https://www.meilleursagents.com/prix-immobilier/isse-44520/,44075
Jans,1721.0,1014.0,2911.0,1697.0,679.0,2877.0,11.4,6.6,20.5,10.0,6.6,13.6,https://www.meilleursagents.com/prix-immobilier/jans-44170/,44076
Joué-sur-Erdre,2536.0,1329.0,3895.0,1927.0,771.0,3376.0,11.8,8.8,18.4,10.9,7.4,15.0,https://www.meilleursagents.com/prix-immobilier/joue-sur-erdre-44440/,44077
Notre Dame des Langueurs,2536.0,1329.0,3895.0,1927.0,771.0,3376.0,11.8,8.8,18.4,10.9,7.4,15.0,https://www.meilleursagents.com/prix-immobilier/notre-dame-des-langueurs-44440/,44077
Juigné-des-Moutiers,1793.0,847.0,2914.0,1427.0,571.0,2613.0,9.7,6.6,15.4,9.8,7.0,12.4,https://www.meilleursagents.com/prix-immobilier/juigne-des-moutiers-44670/,44078
Le Landreau,2792.0,1883.0,3388.0,2470.0,1218.0,3693.0,12.8,8.4,17.2,12.8,8.8,16.6,https://www.meilleursagents.com/prix-immobilier/le-landreau-44430/,44079
Lavau-sur-Loire,2227.0,891.0,3609.0,1976.0,931.0,3008.0,12.7,9.6,18.8,13.6,9.0,17.7,https://www.meilleursagents.com/prix-immobilier/lavau-sur-loire-44260/,44080
Legé,2212.0,1428.0,2990.0,1939.0,776.0,3157.0,11.3,9.2,19.0,10.2,6.5,12.4,https://www.meilleursagents.com/prix-immobilier/lege-44650/,44081
Ligné,2889.0,1473.0,4716.0,2446.0,979.0,3394.0,12.8,8.4,17.6,12.7,8.9,15.8,https://www.meilleursagents.com/prix-immobilier/ligne-44850/,44082
La Limouzinière,2261.0,1689.0,3135.0,2155.0,862.0,3253.0,13.3,9.6,18.6,12.3,8.4,14.7,https://www.meilleursagents.com/prix-immobilier/la-limouziniere-44310/,44083
Le Loroux-Bottereau,2965.0,1798.0,3839.0,2804.0,1127.0,3854.0,12.7,8.6,20.9,13.8,10.1,17.4,https://www.meilleursagents.com/prix-immobilier/le-loroux-bottereau-44430/,44084
Louisfert,1764.0,908.0,2779.0,1585.0,634.0,2538.0,10.6,7.3,17.4,10.1,6.7,14.6,https://www.meilleursagents.com/prix-immobilier/louisfert-44110/,44085
Lusanger,1728.0,933.0,2751.0,1619.0,648.0,2829.0,10.8,6.2,19.4,10.2,6.9,14.3,https://www.meilleursagents.com/prix-immobilier/lusanger-44590/,44086
Machecoul-Saint-Même,2705.0,1425.0,3705.0,2393.0,1060.0,3789.0,12.8,8.0,22.0,12.7,8.8,15.5,https://www.meilleursagents.com/prix-immobilier/machecoul-44270/,44087
Machecoul-Saint-Même,2705.0,1425.0,3705.0,2393.0,1060.0,3789.0,12.8,8.0,22.0,12.7,8.8,15.5,https://www.meilleursagents.com/prix-immobilier/saint-meme-le-tenu-44270/,44087
Maisdon-sur-Sèvre,2437.0,1822.0,3083.0,2516.0,1006.0,3586.0,13.2,9.6,18.5,13.2,9.7,17.5,https://www.meilleursagents.com/prix-immobilier/maisdon-sur-sevre-44690/,44088
Malville,2576.0,1414.0,3785.0,2413.0,1125.0,3781.0,12.8,8.8,17.3,12.0,7.6,15.1,https://www.meilleursagents.com/prix-immobilier/malville-44260/,44089
La Marne,2679.0,1428.0,3658.0,2054.0,947.0,3223.0,11.2,9.0,18.8,11.4,7.3,14.6,https://www.meilleursagents.com/prix-immobilier/la-marne-44270/,44090
Massérac,1688.0,1180.0,2685.0,1458.0,583.0,2752.0,9.8,5.6,16.0,9.9,6.0,13.8,https://www.meilleursagents.com/prix-immobilier/masserac-44290/,44092
Mauves-sur-Loire,3011.0,1543.0,5233.0,2834.0,1302.0,4378.0,13.1,8.7,18.0,13.4,9.6,18.3,https://www.meilleursagents.com/prix-immobilier/mauves-sur-loire-44470/,44094
La Meilleraye-de-Bretagne,1782.0,979.0,2831.0,1553.0,621.0,2577.0,10.0,5.6,17.7,10.2,7.5,13.1,https://www.meilleursagents.com/prix-immobilier/la-meilleraye-de-bretagne-44520/,44095
Mésanger,2428.0,1349.0,4669.0,2454.0,1093.0,3609.0,12.1,9.1,20.6,11.5,8.1,15.8,https://www.meilleursagents.com/prix-immobilier/mesanger-44522/,44096
Mesquer,4211.0,2018.0,7353.0,4567.0,1827.0,9100.0,12.7,8.3,18.1,12.7,7.7,15.9,https://www.meilleursagents.com/prix-immobilier/mesquer-44420/,44097
Quimiac,4211.0,2018.0,7353.0,4567.0,1827.0,9100.0,12.7,8.3,18.1,12.7,7.7,15.9,https://www.meilleursagents.com/prix-immobilier/quimiac-44420/,44097
Missillac,2659.0,1463.0,5318.0,2452.0,981.0,4450.0,11.7,9.6,20.1,11.1,7.8,13.5,https://www.meilleursagents.com/prix-immobilier/missillac-44780/,44098
Moisdon-la-Rivière,1752.0,927.0,2715.0,1546.0,618.0,3091.0,11.2,8.2,18.3,8.7,5.2,11.7,https://www.meilleursagents.com/prix-immobilier/moisdon-la-riviere-44520/,44099
Monnières,2836.0,2115.0,3666.0,2499.0,1055.0,3545.0,12.8,9.4,17.0,12.3,8.2,16.0,https://www.meilleursagents.com/prix-immobilier/monnieres-44690/,44100
Montbert,2421.0,1870.0,3239.0,2310.0,1007.0,3238.0,13.9,10.1,19.5,12.4,8.9,16.0,https://www.meilleursagents.com/prix-immobilier/montbert-44140/,44102
Montoir-de-Bretagne,2571.0,1277.0,3331.0,2540.0,1092.0,3749.0,12.2,8.1,18.8,14.0,11.6,17.3,https://www.meilleursagents.com/prix-immobilier/montoir-de-bretagne-44550/,44103
Montrelais,1967.0,933.0,3420.0,1858.0,743.0,2552.0,11.5,8.5,17.0,11.4,8.9,16.4,https://www.meilleursagents.com/prix-immobilier/montrelais-44370/,44104
Mouais,1739.0,1093.0,2726.0,1873.0,797.0,3106.0,10.9,7.2,17.2,10.1,6.8,13.7,https://www.meilleursagents.com/prix-immobilier/mouais-44590/,44105
Les Moutiers-en-Retz,3824.0,2829.0,5186.0,3947.0,2006.0,6456.0,13.6,9.0,19.3,13.6,9.6,16.7,https://www.meilleursagents.com/prix-immobilier/les-moutiers-en-retz-44760/,44106
Mouzeil,2593.0,1358.0,4021.0,2024.0,810.0,3101.0,10.9,6.3,14.8,11.2,8.0,14.6,https://www.meilleursagents.com/prix-immobilier/mouzeil-44850/,44107
Mouzillon,2518.0,1824.0,3336.0,2423.0,969.0,3867.0,12.7,8.7,21.0,12.7,8.8,16.8,https://www.meilleursagents.com/prix-immobilier/mouzillon-44330/,44108
Nantes,3412.0,2187.0,4810.0,4064.0,2264.0,6663.0,14.7,10.7,22.9,13.2,10.4,17.3,https://www.meilleursagents.com/prix-immobilier/nantes-44000/,44109
Notre-Dame-des-Landes,2012.0,1408.0,2607.0,2308.0,923.0,3551.0,12.4,8.4,16.7,12.4,8.4,16.4,https://www.meilleursagents.com/prix-immobilier/notre-dame-des-landes-44130/,44111
Noyal-sur-Brutz,1895.0,1001.0,2722.0,1543.0,617.0,2548.0,10.1,6.6,16.7,10.2,7.0,13.0,https://www.meilleursagents.com/prix-immobilier/noyal-sur-brutz-44110/,44112
Nozay,1721.0,1014.0,2911.0,1887.0,755.0,3192.0,12.4,8.3,19.8,11.0,6.7,15.8,https://www.meilleursagents.com/prix-immobilier/nozay-44170/,44113
Oudon,2855.0,1459.0,4710.0,2416.0,1161.0,3729.0,12.3,9.4,16.7,12.3,9.1,16.2,https://www.meilleursagents.com/prix-immobilier/oudon-44521/,44115
Paimbœuf,2227.0,891.0,3609.0,2262.0,905.0,3554.0,12.2,8.3,20.3,13.5,8.8,17.3,https://www.meilleursagents.com/prix-immobilier/paimboeuf-44560/,44116
Le Pallet,2566.0,1863.0,3563.0,2583.0,1033.0,4013.0,12.7,9.3,17.1,12.9,8.4,17.0,https://www.meilleursagents.com/prix-immobilier/le-pallet-44330/,44117
Pannecé,2422.0,1304.0,4677.0,1831.0,732.0,2967.0,9.5,5.9,14.8,10.1,7.3,13.8,https://www.meilleursagents.com/prix-immobilier/pannece-44440/,44118
Paulx,2705.0,1425.0,3706.0,2165.0,929.0,3355.0,11.4,9.3,19.0,11.8,7.6,14.9,https://www.meilleursagents.com/prix-immobilier/paulx-44270/,44119
Le Pellerin,2770.0,1484.0,3507.0,2611.0,1206.0,4179.0,12.7,9.8,20.1,12.5,8.7,16.4,https://www.meilleursagents.com/prix-immobilier/le-pellerin-44640/,44120
Petit-Auverné,1750.0,955.0,2653.0,1787.0,715.0,3575.0,9.4,5.2,16.9,10.2,7.3,13.1,https://www.meilleursagents.com/prix-immobilier/petit-auverne-44670/,44121
Petit-Mars,3381.0,2056.0,4847.0,2399.0,1125.0,3564.0,12.8,9.0,17.5,12.9,9.1,16.1,https://www.meilleursagents.com/prix-immobilier/petit-mars-44390/,44122
Pierric,1734.0,1117.0,2628.0,1480.0,592.0,2392.0,10.7,8.6,18.3,11.0,8.1,15.5,https://www.meilleursagents.com/prix-immobilier/pierric-44290/,44123
Le Pin,1855.0,892.0,3200.0,1441.0,577.0,2846.0,9.1,5.2,14.2,9.9,7.1,12.2,https://www.meilleursagents.com/prix-immobilier/le-pin-44540/,44124
Piriac-sur-Mer,4182.0,2134.0,7253.0,4901.0,2338.0,9794.0,12.7,8.6,18.1,12.6,7.7,15.9,https://www.meilleursagents.com/prix-immobilier/piriac-sur-mer-44420/,44125
La Plaine-sur-Mer,4369.0,2280.0,6617.0,3884.0,1880.0,6916.0,13.6,9.3,19.4,14.0,11.5,18.7,https://www.meilleursagents.com/prix-immobilier/la-plaine-sur-mer-44770/,44126
La Planche,2280.0,1721.0,3146.0,2068.0,827.0,3088.0,11.5,8.5,18.3,11.2,6.8,13.8,https://www.meilleursagents.com/prix-immobilier/la-planche-44140/,44127
Plessé,1945.0,1401.0,2516.0,1776.0,710.0,3120.0,11.4,6.7,20.6,10.8,7.6,13.8,https://www.meilleursagents.com/prix-immobilier/plesse-44630/,44128
Le Coudray,1945.0,1401.0,2516.0,1776.0,710.0,3120.0,11.4,6.7,20.6,10.8,7.6,13.8,https://www.meilleursagents.com/prix-immobilier/le-coudray-44630/,44128
Le Dresny,1945.0,1401.0,2516.0,1776.0,710.0,3120.0,11.4,6.7,20.6,10.8,7.6,13.8,https://www.meilleursagents.com/prix-immobilier/le-dresny-44630/,44128
Pontchâteau,2555.0,1491.0,3567.0,2465.0,1095.0,3670.0,12.2,8.1,20.6,13.4,8.5,17.5,https://www.meilleursagents.com/prix-immobilier/pontchateau-44160/,44129
Saint Guillaume,2555.0,1491.0,3567.0,2465.0,1095.0,3670.0,12.2,8.1,20.6,13.4,8.5,17.5,https://www.meilleursagents.com/prix-immobilier/saint-guillaume-44160/,44129
Saint Roch,2555.0,1491.0,3567.0,2465.0,1095.0,3670.0,12.2,8.1,20.6,13.4,8.5,17.5,https://www.meilleursagents.com/prix-immobilier/saint-roch-44160/,44129
Viais,3241.0,2568.0,4159.0,2877.0,1200.0,4306.0,13.9,9.9,18.8,13.4,9.6,17.4,https://www.meilleursagents.com/prix-immobilier/viais-44860/,44130
Le Clion sur Mer,5673.0,3105.0,8819.0,5195.0,2347.0,10045.0,13.6,10.0,20.1,14.0,11.0,18.6,https://www.meilleursagents.com/prix-immobilier/le-clion-sur-mer-44210/,44131
Sainte Marie,5673.0,3105.0,8819.0,5195.0,2347.0,10045.0,13.6,10.0,20.1,14.0,11.0,18.6,https://www.meilleursagents.com/prix-immobilier/sainte-marie-44210/,44131
Pornichet,6082.0,3305.0,10160.0,5999.0,2720.0,11400.0,14.5,9.1,23.2,16.0,11.0,20.9,https://www.meilleursagents.com/prix-immobilier/pornichet-44380/,44132
Pouillé-les-Côteaux,1964.0,1123.0,3928.0,2148.0,897.0,3299.0,9.2,5.7,14.3,9.8,6.5,13.8,https://www.meilleursagents.com/prix-immobilier/pouille-les-coteaux-44522/,44134
Préfailles,4668.0,1909.0,6258.0,5019.0,2035.0,10038.0,13.6,9.3,19.3,14.0,11.0,18.7,https://www.meilleursagents.com/prix-immobilier/prefailles-44770/,44136
Prinquiau,2523.0,1521.0,3428.0,2293.0,968.0,3496.0,12.6,8.5,16.3,13.7,9.0,18.1,https://www.meilleursagents.com/prix-immobilier/prinquiau-44260/,44137
Puceul,1797.0,1143.0,2960.0,1978.0,829.0,2717.0,11.8,8.1,15.9,11.9,8.6,15.9,https://www.meilleursagents.com/prix-immobilier/puceul-44390/,44138
Quilly,2527.0,1489.0,3533.0,1812.0,762.0,3156.0,11.1,9.1,17.9,11.7,8.5,16.4,https://www.meilleursagents.com/prix-immobilier/quilly-44750/,44139
La Regrippière,1852.0,1081.0,3324.0,1918.0,767.0,2859.0,11.0,7.9,19.4,10.0,6.7,13.3,https://www.meilleursagents.com/prix-immobilier/la-regrippiere-44330/,44140
La Remaudière,2624.0,1802.0,4368.0,2023.0,809.0,3341.0,10.6,7.6,18.6,10.5,7.0,13.8,https://www.meilleursagents.com/prix-immobilier/la-remaudiere-44430/,44141
Remouillé,2341.0,1716.0,3065.0,2233.0,956.0,3343.0,12.8,9.3,18.0,12.2,8.9,16.6,https://www.meilleursagents.com/prix-immobilier/remouille-44140/,44142
