code_insee,Code_postal,Departement
44151,44117,Loire-Atlantique
44152,44160,Loire-Atlantique
44153,44110,Loire-Atlantique
44154,44250,Loire-Atlantique
44154,44250,Loire-Atlantique
44154,44250,Loire-Atlantique
44155,44310,Loire-Atlantique
44155,44310,Loire-Atlantique
44156,44650,Loire-Atlantique
44156,44650,Loire-Atlantique
44156,44650,Loire-Atlantique
44157,44270,Loire-Atlantique
44158,44360,Loire-Atlantique
44159,44690,Loire-Atlantique
44161,44530,Loire-Atlantique
44162,44800,Loire-Atlantique
44163,44150,Loire-Atlantique
44163,44150,Loire-Atlantique
44164,44680,Loire-Atlantique
44165,44190,Loire-Atlantique
44166,44640,Loire-Atlantique
44168,44720,Loire-Atlantique
44169,44450,Loire-Atlantique
44170,44670,Loire-Atlantique
44171,44710,Loire-Atlantique
44172,44980,Loire-Atlantique
44173,44190,Loire-Atlantique
44174,44310,Loire-Atlantique
44175,44410,Loire-Atlantique
44176,44550,Loire-Atlantique
44178,44680,Loire-Atlantique
44179,44850,Loire-Atlantique
44180,44540,Loire-Atlantique
44180,44540,Loire-Atlantique
44180,44540,Loire-Atlantique
44180,44540,Loire-Atlantique
44180,44540,Loire-Atlantique
44180,44540,Loire-Atlantique
44182,44730,Loire-Atlantique
44182,44730,Loire-Atlantique
44183,44350,Loire-Atlantique
44184,44600,Loire-Atlantique
44184,44600,Loire-Atlantique
44185,44460,Loire-Atlantique
44186,44680,Loire-Atlantique
44187,44320,Loire-Atlantique
44188,44310,Loire-Atlantique
44189,44160,Loire-Atlantique
44190,44230,Loire-Atlantique
44192,44320,Loire-Atlantique
44193,44590,Loire-Atlantique
44194,44880,Loire-Atlantique
44195,44260,Loire-Atlantique
44196,44530,Loire-Atlantique
44197,44590,Loire-Atlantique
44198,44840,Loire-Atlantique
44199,44110,Loire-Atlantique
44200,44660,Loire-Atlantique
44201,44240,Loire-Atlantique
44202,44440,Loire-Atlantique
44203,44360,Loire-Atlantique
44204,44470,Loire-Atlantique
44205,44390,Loire-Atlantique
44206,44650,Loire-Atlantique
44207,44440,Loire-Atlantique
44208,44170,Loire-Atlantique
44209,44119,Loire-Atlantique
44210,44570,Loire-Atlantique
44211,44420,Loire-Atlantique
44211,44420,Loire-Atlantique
44212,44330,Loire-Atlantique
44213,44370,Loire-Atlantique
44213,44370,Loire-Atlantique
44213,44370,Loire-Atlantique
44213,44370,Loire-Atlantique
44214,44170,Loire-Atlantique
44215,44120,Loire-Atlantique
44215,44120,Loire-Atlantique
44216,44116,Loire-Atlantique
44217,44360,Loire-Atlantique
44217,44360,Loire-Atlantique
44218,44110,Loire-Atlantique
44220,44640,Loire-Atlantique
44221,44810,Loire-Atlantique
44222,44522,Loire-Atlantique
44223,44140,Loire-Atlantique
44224,44170,Loire-Atlantique
49002,49650,Maine-et-Loire
49003,49700,Maine-et-Loire
49003,49700,Maine-et-Loire
49003,49700,Maine-et-Loire
49007,49000,Maine-et-Loire
49007,49100,Maine-et-Loire
49008,49440,Maine-et-Loire
49009,49260,Maine-et-Loire
49010,49420,Maine-et-Loire
49011,49260,Maine-et-Loire
49012,49540,Maine-et-Loire
49015,49240,Maine-et-Loire
49017,49430,Maine-et-Loire
49018,49150,Maine-et-Loire
49018,49150,Maine-et-Loire
49018,49150,Maine-et-Loire
49018,49150,Maine-et-Loire
49018,49150,Maine-et-Loire
49018,49150,Maine-et-Loire
49018,49150,Maine-et-Loire
49018,49150,Maine-et-Loire
49018,49150,Maine-et-Loire
49018,49150,Maine-et-Loire
49018,49150,Maine-et-Loire
49018,49150,Maine-et-Loire
49018,49150,Maine-et-Loire
49018,49150,Maine-et-Loire
49018,49150,Maine-et-Loire
49020,49070,Maine-et-Loire
49021,49250,Maine-et-Loire
49021,49250,Maine-et-Loire
49022,49750,Maine-et-Loire
49023,49110,Maine-et-Loire
49023,49450,Maine-et-Loire
49023,49510,Maine-et-Loire
49023,49510,Maine-et-Loire
49023,49510,Maine-et-Loire
49023,49600,Maine-et-Loire
49023,49600,Maine-et-Loire
49023,49600,Maine-et-Loire
49023,49600,Maine-et-Loire
49023,49600,Maine-et-Loire
49026,49370,Maine-et-Loire
49027,49122,Maine-et-Loire
49028,49170,Maine-et-Loire
49029,49320,Maine-et-Loire
49029,49320,Maine-et-Loire
49029,49320,Maine-et-Loire
49030,49160,Maine-et-Loire
49035,49080,Maine-et-Loire
49036,49520,Maine-et-Loire
49038,49520,Maine-et-Loire
49041,49650,Maine-et-Loire
49045,49390,Maine-et-Loire
49048,49125,Maine-et-Loire
49050,49250,Maine-et-Loire
49050,49320,Maine-et-Loire
49050,49320,Maine-et-Loire
49050,49320,Maine-et-Loire
49050,49320,Maine-et-Loire
49050,49320,Maine-et-Loire
49050,49320,Maine-et-Loire
49050,49320,Maine-et-Loire
49050,49320,Maine-et-Loire
49050,49320,Maine-et-Loire
49050,49320,Maine-et-Loire
49053,49700,Maine-et-Loire
49054,49440,Maine-et-Loire
49055,49460,Maine-et-Loire
49056,49420,Maine-et-Loire
49057,49310,Maine-et-Loire
49058,49360,Maine-et-Loire
49060,49260,Maine-et-Loire
49060,49260,Maine-et-Loire
49060,49400,Maine-et-Loire
49061,49440,Maine-et-Loire
49063,49290,Maine-et-Loire
49064,49220,Maine-et-Loire
49067,49220,Maine-et-Loire
49067,49220,Maine-et-Loire
49068,49123,Maine-et-Loire
49070,49340,Maine-et-Loire
49076,49140,Maine-et-Loire
49080,49330,Maine-et-Loire
49080,49330,Maine-et-Loire
49080,49330,Maine-et-Loire
49080,49330,Maine-et-Loire
49080,49330,Maine-et-Loire
49080,49330,Maine-et-Loire
49080,49330,Maine-et-Loire
49080,49330,Maine-et-Loire
49082,49290,Maine-et-Loire
49086,49380,Maine-et-Loire
49086,49380,Maine-et-Loire
49086,49540,Maine-et-Loire
49089,49500,Maine-et-Loire
49090,49125,Maine-et-Loire
49092,49120,Maine-et-Loire
49092,49120,Maine-et-Loire
49092,49120,Maine-et-Loire
49092,49120,Maine-et-Loire
49092,49120,Maine-et-Loire
49092,49120,Maine-et-Loire
49092,49120,Maine-et-Loire
49092,49120,Maine-et-Loire
49092,49120,Maine-et-Loire
49092,49120,Maine-et-Loire
49092,49120,Maine-et-Loire
49092,49310,Maine-et-Loire
49092,49670,Maine-et-Loire
49092,49670,Maine-et-Loire
49092,49750,Maine-et-Loire
49099,49300,Maine-et-Loire
49099,49300,Maine-et-Loire
49100,49700,Maine-et-Loire
49102,49560,Maine-et-Loire
49107,49140,Maine-et-Loire
49109,49690,Maine-et-Loire
49110,49140,Maine-et-Loire
49112,49260,Maine-et-Loire
49113,49260,Maine-et-Loire
49114,49390,Maine-et-Loire
49120,49190,Maine-et-Loire
49121,49700,Maine-et-Loire
49123,49400,Maine-et-Loire
49125,49700,Maine-et-Loire
49125,49700,Maine-et-Loire
49125,49700,Maine-et-Loire
49125,49700,Maine-et-Loire
49125,49700,Maine-et-Loire
49125,49700,Maine-et-Loire
49125,49700,Maine-et-Loire
49125,49700,Maine-et-Loire
49126,49270,Maine-et-Loire
49126,49270,Maine-et-Loire
49126,49270,Maine-et-Loire
49126,49270,Maine-et-Loire
49126,49270,Maine-et-Loire
49126,49270,Maine-et-Loire
49126,49530,Maine-et-Loire
49126,49530,Maine-et-Loire
49126,49530,Maine-et-Loire
49127,49430,Maine-et-Loire
49129,49000,Maine-et-Loire
49130,49460,Maine-et-Loire
49131,49260,Maine-et-Loire
49132,49330,Maine-et-Loire
49135,49460,Maine-et-Loire
49138,49250,Maine-et-Loire
49138,49250,Maine-et-Loire
49138,49250,Maine-et-Loire
49140,49590,Maine-et-Loire
49155,49220,Maine-et-Loire
49160,49123,Maine-et-Loire
49160,49123,Maine-et-Loire
49160,49123,Maine-et-Loire
49161,49220,Maine-et-Loire
49163,49140,Maine-et-Loire
49163,49140,Maine-et-Loire
49163,49140,Maine-et-Loire
49163,49140,Maine-et-Loire
49167,49320,Maine-et-Loire
49167,49610,Maine-et-Loire
49170,49330,Maine-et-Loire
49171,49150,Maine-et-Loire
49174,49430,Maine-et-Loire
49174,49430,Maine-et-Loire
49176,49220,Maine-et-Loire
49176,49220,Maine-et-Loire
49178,49440,Maine-et-Loire
49180,49160,Maine-et-Loire
49180,49160,Maine-et-Loire
49182,49700,Maine-et-Loire
49183,49370,Maine-et-Loire
49183,49370,Maine-et-Loire
49183,49440,Maine-et-Loire
49188,49140,Maine-et-Loire
49192,49360,Maine-et-Loire
