ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,Taux_Global_TFB,Code_insee,Code_postal,Departement,geo
Herbignac,2768,1454,5536,2872,1149,4725,12.7,8.4,18.3,12.8,7.6,15.5,0.389,44072,44410,Loire-Atlantique,"Herbignac, Loire-Atlantique, France"
Indre,3003,1634,4341,3122,1370,5022,13.4,10.8,19.3,15.5,10.6,21.5,0.4863,44074,44610,Loire-Atlantique,"Indre, Loire-Atlantique, France"
Issé,1742,920,2745,1445,615,2673,9.7,5.6,15.2,10.6,7.8,13.9,0.2992,44075,44520,Loire-Atlantique,"Issé, Loire-Atlantique, France"
Jans,1721,1014,2911,1697,679,2877,11.4,6.6,20.5,10,6.6,13.6,0.3418,44076,44170,Loire-Atlantique,"Jans, Loire-Atlantique, France"
Joué-sur-Erdre,2536,1329,3895,1927,771,3376,11.8,8.8,18.4,10.9,7.4,15,0.3427,44077,44440,Loire-Atlantique,"Joué-sur-Erdre, Loire-Atlantique, France"
Juigné-des-Moutiers,1793,847,2914,1427,571,2613,9.7,6.6,15.4,9.8,7,12.4,0.2915,44078,44670,Loire-Atlantique,"Juigné-des-Moutiers, Loire-Atlantique, France"
Le Landreau,2792,1883,3388,2470,1218,3693,12.8,8.4,17.2,12.8,8.8,16.6,0.4352,44079,44430,Loire-Atlantique,"Le Landreau, Loire-Atlantique, France"
Lavau-sur-Loire,2227,891,3609,1976,931,3008,12.7,9.6,18.8,13.6,9,17.7,0.3397,44080,44260,Loire-Atlantique,"Lavau-sur-Loire, Loire-Atlantique, France"
Legé,2212,1428,2990,1939,776,3157,11.3,9.2,19,10.2,6.5,12.4,0.3428,44081,44650,Loire-Atlantique,"Legé, Loire-Atlantique, France"
Ligné,2889,1473,4716,2446,979,3394,12.8,8.4,17.6,12.7,8.9,15.8,0.4644,44082,44850,Loire-Atlantique,"Ligné, Loire-Atlantique, France"
La Limouzinière,2261,1689,3135,2155,862,3253,13.3,9.6,18.6,12.3,8.4,14.7,0.3583,44083,44310,Loire-Atlantique,"La Limouzinière, Loire-Atlantique, France"
Le Loroux-Bottereau,2965,1798,3839,2804,1127,3854,12.7,8.6,20.9,13.8,10.1,17.4,0.3493,44084,44430,Loire-Atlantique,"Le Loroux-Bottereau, Loire-Atlantique, France"
Louisfert,1764,908,2779,1585,634,2538,10.6,7.3,17.4,10.1,6.7,14.6,0.3353,44085,44110,Loire-Atlantique,"Louisfert, Loire-Atlantique, France"
Lusanger,1728,933,2751,1619,648,2829,10.8,6.2,19.4,10.2,6.9,14.3,0.3219,44086,44590,Loire-Atlantique,"Lusanger, Loire-Atlantique, France"
Machecoul-Saint-Même,2705,1425,3705,2393,1060,3789,12.8,8,22,12.7,8.8,15.5,0.372,44087,44270,Loire-Atlantique,"Machecoul-Saint-Même, Loire-Atlantique, France"
Maisdon-sur-Sèvre,2437,1822,3083,2516,1006,3586,13.2,9.6,18.5,13.2,9.7,17.5,0.4157,44088,44690,Loire-Atlantique,"Maisdon-sur-Sèvre, Loire-Atlantique, France"
Malville,2576,1414,3785,2413,1125,3781,12.8,8.8,17.3,12,7.6,15.1,0.4,44089,44260,Loire-Atlantique,"Malville, Loire-Atlantique, France"
La Marne,2679,1428,3658,2054,947,3223,11.2,9,18.8,11.4,7.3,14.6,0.3612,44090,44270,Loire-Atlantique,"La Marne, Loire-Atlantique, France"
Massérac,1688,1180,2685,1458,583,2752,9.8,5.6,16,9.9,6,13.8,0.3923,44092,44290,Loire-Atlantique,"Massérac, Loire-Atlantique, France"
Mauves-sur-Loire,3011,1543,5233,2834,1302,4378,13.1,8.7,18,13.4,9.6,18.3,0.4622,44094,44470,Loire-Atlantique,"Mauves-sur-Loire, Loire-Atlantique, France"
La Meilleraye-de-Bretagne,1782,979,2831,1553,621,2577,10,5.6,17.7,10.2,7.5,13.1,0.3632,44095,44520,Loire-Atlantique,"La Meilleraye-de-Bretagne, Loire-Atlantique, France"
Mésanger,2428,1349,4669,2454,1093,3609,12.1,9.1,20.6,11.5,8.1,15.8,0.3975,44096,44522,Loire-Atlantique,"Mésanger, Loire-Atlantique, France"
Mesquer,4211,2018,7353,4567,1827,9100,12.7,8.3,18.1,12.7,7.7,15.9,0.3889,44097,44420,Loire-Atlantique,"Mesquer, Loire-Atlantique, France"
Missillac,2659,1463,5318,2452,981,4450,11.7,9.6,20.1,11.1,7.8,13.5,0.3643,44098,44780,Loire-Atlantique,"Missillac, Loire-Atlantique, France"
Moisdon-la-Rivière,1752,927,2715,1546,618,3091,11.2,8.2,18.3,8.7,5.2,11.7,0.3011,44099,44520,Loire-Atlantique,"Moisdon-la-Rivière, Loire-Atlantique, France"
Monnières,2836,2115,3666,2499,1055,3545,12.8,9.4,17,12.3,8.2,16,0.5078,44100,44690,Loire-Atlantique,"Monnières, Loire-Atlantique, France"
Montbert,2421,1870,3239,2310,1007,3238,13.9,10.1,19.5,12.4,8.9,16,0.3996,44102,44140,Loire-Atlantique,"Montbert, Loire-Atlantique, France"
Montoir-de-Bretagne,2571,1277,3331,2540,1092,3749,12.2,8.1,18.8,14,11.6,17.3,0.2639,44103,44550,Loire-Atlantique,"Montoir-de-Bretagne, Loire-Atlantique, France"
Montrelais,1967,933,3420,1858,743,2552,11.5,8.5,17,11.4,8.9,16.4,0.3489,44104,44370,Loire-Atlantique,"Montrelais, Loire-Atlantique, France"
Mouais,1739,1093,2726,1873,797,3106,10.9,7.2,17.2,10.1,6.8,13.7,0.3008,44105,44590,Loire-Atlantique,"Mouais, Loire-Atlantique, France"
Les Moutiers-en-Retz,3824,2829,5186,3947,2006,6456,13.6,9,19.3,13.6,9.6,16.7,0.3914,44106,44760,Loire-Atlantique,"Les Moutiers-en-Retz, Loire-Atlantique, France"
Mouzeil,2593,1358,4021,2024,810,3101,10.9,6.3,14.8,11.2,8,14.6,0.3558,44107,44850,Loire-Atlantique,"Mouzeil, Loire-Atlantique, France"
Mouzillon,2518,1824,3336,2423,969,3867,12.7,8.7,21,12.7,8.8,16.8,0.3773,44108,44330,Loire-Atlantique,"Mouzillon, Loire-Atlantique, France"
Nantes,3412,2187,4810,4064,2264,6663,14.7,10.7,22.9,13.2,10.4,17.3,0.5336,44109,44000,Loire-Atlantique,"Nantes, Loire-Atlantique, France"
Notre-Dame-des-Landes,2012,1408,2607,2308,923,3551,12.4,8.4,16.7,12.4,8.4,16.4,0.5504,44111,44130,Loire-Atlantique,"Notre-Dame-des-Landes, Loire-Atlantique, France"
Noyal-sur-Brutz,1895,1001,2722,1543,617,2548,10.1,6.6,16.7,10.2,7,13,0.3368,44112,44110,Loire-Atlantique,"Noyal-sur-Brutz, Loire-Atlantique, France"
Nozay,1721,1014,2911,1887,755,3192,12.4,8.3,19.8,11,6.7,15.8,0.376,44113,44170,Loire-Atlantique,"Nozay, Loire-Atlantique, France"
Oudon,2855,1459,4710,2416,1161,3729,12.3,9.4,16.7,12.3,9.1,16.2,0.6103,44115,44521,Loire-Atlantique,"Oudon, Loire-Atlantique, France"
Paimbœuf,2227,891,3609,2262,905,3554,12.2,8.3,20.3,13.5,8.8,17.3,0.4842,44116,44560,Loire-Atlantique,"Paimbœuf, Loire-Atlantique, France"
Le Pallet,2566,1863,3563,2583,1033,4013,12.7,9.3,17.1,12.9,8.4,17,0.4321,44117,44330,Loire-Atlantique,"Le Pallet, Loire-Atlantique, France"
