ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,Taux_Global_TFB,Code_insee,Departement,geo,nb_m2,nb_mois,assurance_pno_annuel,frais_agence_%,frais_notaire_%,garantie_loyer_impaye,compta_annuelle,prevision_entretien_annuel,prevision_gros_oeuvre_annuel,taux_occupation,loyer_mensuel_appart,loyer_mensuel_maison,loyer_annuel_appart,loyer_annuel_maison,garantie_loyer_impaye_annuel_appart,garantie_loyer_impaye_annuel_maison,prix_net_vendeur_appart,prix_net_vendeur_maison,frais_agence_maison,frais_agence_appart,frais_notaire_maison,frais_notaire_appart,prevision_entretien_annuel_appart,prevision_entretien_annuel_maison,prevision_gros_oeuvre_annuel_appart,prevision_gros_oeuvre_annuel_maison,valeur_cadastrale_locative_appart,valeur_cadastrale_locative_maison,TFPB_annuel_appart,TFPB_annuel_maison,charges_copro_annuel,assurance_habitation_annuel,frais_gestion_loc_annuel,prix_achat_total_appart,prix_achat_total_maison,renta_brute_appart,renta_brute_maison,charges_annuelles_appart,charges_annuelles_maison,renta_nette_appart,renta_nette_maison
Blain,1960,1395,2551,2092,883,3193,11.1,8.2,17.2,11.9,7.1,16.6,49.01,44015,Loire-Atlantique,"Blain, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,527.25,565.25,6327.0,6783.0,189.81,203.48999999999998,98000,104600,5230.0,4900.0,8368.0,7840.0,126.54,135.66,490.0,523.0,2530.8,2713.2,1240.34508,1329.7393199999997,50,0,200,110740.0,118198.0,0.05713382698212028,0.057386757813160966,1980.15508,2083.2293199999995,0.0392527083258082,0.03976184605492479
La Boissière-du-Doré,1763,1030,3223,1945,778,2626,10.6,6.8,17.0,10.1,6.9,13.5,38.94,44016,Loire-Atlantique,"La Boissière-du-Doré, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,503.5,479.75,6042.0,5757.0,181.26,172.70999999999998,88150,97250,4862.5,4407.5,7780.0,7052.0,120.84,115.14,440.75,486.25,2416.8,2302.8,941.10192,896.71032,50,0,200,99609.5,109892.5,0.06065686505805169,0.05238756057055759,1672.3619199999998,1619.42032,0.043867684106435635,0.03765115617535318
Bouaye,3240,2480,4314,2956,1390,4356,12.5,9.6,16.2,13.4,9.2,18.0,51.28,44018,Loire-Atlantique,"Bouaye, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,593.75,636.5,7125.0,7638.0,213.75,229.14,162000,147800,7390.0,8100.0,11824.0,12960.0,142.5,152.76,810.0,739.0,2850.0,3055.2,1461.48,1566.7065599999999,50,0,200,183060.0,167014.0,0.038921665027859716,0.045732693067647025,2225.23,2345.84656,0.026765923740849996,0.031686885171303004
Bouée,2595,1403,3835,2296,918,3557,12.4,9.2,16.9,12.5,8.0,16.3,36.63,44019,Loire-Atlantique,"Bouée, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,589.0,593.75,7068.0,7125.0,212.04,213.75,129750,114800,5740.0,6487.5,9184.0,10380.0,141.36,142.5,648.75,574.0,2827.2,2850.0,1035.60336,1043.9550000000002,50,0,200,146617.5,129724.0,0.048207069415315364,0.054924300823286365,1797.64336,1807.7050000000002,0.035946299998294885,0.040989292652092134
Villeneuve-en-Retz,2686,1605,3628,2453,981,3939,12.8,8.1,22.9,12.7,8.8,15.4,36.86,44021,Loire-Atlantique,"Villeneuve-en-Retz, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,608.0,603.25,7296.0,7239.0,218.88,217.17,134300,122650,6132.5,6715.0,9812.0,10744.0,145.92000000000002,144.78,671.5,613.25,2918.4,2895.6,1075.72224,1067.3181599999998,50,0,200,151759.0,138594.5,0.04807622612167977,0.05223150990840185,1844.6022400000002,1834.4881599999999,0.03592141329344553,0.038995139345356415
Boussay,2389,1682,3181,1992,797,3240,10.1,7.3,17.8,10.2,6.8,12.9,38.93,44022,Loire-Atlantique,"Boussay, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,479.75,484.49999999999994,5757.0,5813.999999999999,172.70999999999998,174.41999999999996,119450,99600,4980.0,5972.5,7968.0,9556.0,115.14,116.27999999999999,597.25,498.0,2302.8,2325.5999999999995,896.48004,905.3560799999998,50,0,200,134978.5,112548.0,0.04265123704886334,0.05165795927071116,1619.19004,1629.7760799999996,0.03065532629270588,0.03717723922237622
Bouvron,2001,1407,2696,2020,896,3511,12.4,9.2,20.5,12.0,7.7,16.4,46.08,44023,Loire-Atlantique,"Bouvron, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,589.0,570.0,7068.0,6840.0,212.04,205.2,100050,101000,5050.0,5002.5,8080.0,8004.0,141.36,136.8,500.25,505.0,2827.2,2736.0,1302.7737599999998,1260.7487999999998,50,0,200,113056.5,114130.0,0.06251741385944196,0.05993165688250241,2064.81376,2015.9488,0.044253857496030745,0.042268038202050294
Brains,3038,2077,3714,2691,1319,3684,13.4,9.3,18.2,11.0,6.6,14.3,42.8,44024,Loire-Atlantique,"Brains, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,636.5,522.5,7638.0,6270.0,229.14,188.1,151900,134550,6727.5,7595.0,10764.0,12152.0,152.76,125.4,759.5,672.75,3055.2,2508.0,1307.6255999999998,1073.424,50,0,200,171647.0,152041.5,0.04449830174719045,0.04123874073854836,2086.7655999999997,1811.524,0.03234099285160824,0.029324072703834154
Campbon,2533,1516,3526,2232,995,3503,12.5,9.0,19.1,11.5,7.2,15.3,32.74,44025,Loire-Atlantique,"Campbon, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,593.75,546.25,7125.0,6555.0,213.75,196.65,126650,111600,5580.0,6332.5,8928.0,10132.0,142.5,131.1,633.25,558.0,2850.0,2622.0,933.09,858.4428,50,0,200,143114.5,126108.0,0.04978531176086281,0.051979255875915883,1696.8400000000001,1605.0928,0.037928791282504565,0.039251333777397146
Carquefou,3562,2381,4876,3401,2051,5316,13.7,10.6,20.9,12.2,10.2,16.4,38.85,44026,Loire-Atlantique,"Carquefou, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,650.75,579.5,7809.0,6954.0,234.26999999999998,208.62,178100,170050,8502.5,8905.0,13604.0,14248.0,156.18,139.08,890.5,850.25,3123.6,2781.6,1213.5186,1080.6516000000001,50,0,200,201253.0,192156.5,0.03880190605854323,0.03618925198991447,1997.7886,1839.2716,0.02887515415919266,0.026617514369797535
