ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,Taux_Global_TFB,Code_insee,Departement,geo,nb_m2,nb_mois,assurance_pno_annuel,frais_agence_%,frais_notaire_%,garantie_loyer_impaye,compta_annuelle,prevision_entretien_annuel,prevision_gros_oeuvre_annuel,taux_occupation,loyer_mensuel_appart,loyer_mensuel_maison,loyer_annuel_appart,loyer_annuel_maison,garantie_loyer_impaye_annuel_appart,garantie_loyer_impaye_annuel_maison,prix_net_vendeur_appart,prix_net_vendeur_maison,frais_agence_maison,frais_agence_appart,frais_notaire_maison,frais_notaire_appart,prevision_entretien_annuel_appart,prevision_entretien_annuel_maison,prevision_gros_oeuvre_annuel_appart,prevision_gros_oeuvre_annuel_maison,valeur_cadastrale_locative_appart,valeur_cadastrale_locative_maison,TFPB_annuel_appart,TFPB_annuel_maison,charges_copro_annuel,assurance_habitation_annuel,frais_gestion_loc_annuel,prix_achat_total_appart,prix_achat_total_maison,renta_brute_appart,renta_brute_maison,charges_annuelles_appart,charges_annuelles_maison,renta_nette_appart,renta_nette_maison
Chazé-sur-Argos,1793,831,3123,1964,786,3526,9.8,6.5,15.6,10.5,7.7,14.3,41.01,49089,Maine-et-Loire,"Chazé-sur-Argos, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,465.50000000000006,498.75,5586.000000000001,5985.0,167.58,179.54999999999998,89650,98200,4910.0,4482.5,7856.0,7172.0,111.72000000000003,119.7,448.25,491.0,2234.4000000000005,2394.0,916.3274400000003,981.7794,50,0,200,101304.5,110966.0,0.05514068970282664,0.0539354396842276,1633.9074400000004,1711.3294,0.03901201387894911,0.03851333381396103
Cheffes,2089,1641,2766,1970,788,3479,10.6,7.0,16.0,12.4,7.8,14.3,50.97,49090,Maine-et-Loire,"Cheffes, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,503.5,589.0,6042.0,7068.0,181.26,212.04,104450,98500,4925.0,5222.5,7880.0,8356.0,120.84,141.36,522.25,492.5,2416.8,2827.2,1231.84296,1441.0238399999998,50,0,200,118028.5,111305.0,0.05119102589628776,0.06350119042271236,1963.10296,2203.06384,0.03455857729277251,0.043708154710031
Chemillé-en-Anjou,2246,1124,3333,1843,737,2918,11.3,7.6,18.1,9.8,7.1,12.9,46.8,49092,Maine-et-Loire,"Chemillé-en-Anjou, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,536.75,465.50000000000006,6441.0,5586.000000000001,193.23,167.58,112300,92150,4607.5,5615.0,7372.0,8984.0,128.82,111.72000000000003,561.5,460.75,2576.4,2234.4000000000005,1205.7552,1045.6992,50,0,200,126899.0,104129.5,0.05075690115761353,0.05364474044339021,1948.9852,1763.2792,0.03539834671668019,0.03671121824266899
Cholet,2202,1383,3562,2295,1240,3577,11.8,8.0,19.3,12.3,8.7,16.3,49.53,49099,Maine-et-Loire,"Cholet, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,560.5,584.25,6726.0,7011.0,201.78,210.32999999999998,110100,114750,5737.5,5505.0,9180.0,8808.0,134.52,140.22,550.5,573.75,2690.4,2804.4,1332.5551200000002,1389.01932,50,0,200,124413.0,129667.5,0.0540618745629476,0.05406906125281971,2084.33512,2149.3493200000003,0.0373085198492119,0.03749320901536622
Cizay-la-Madeleine,1620,1179,2403,1605,753,2241,9.7,6.4,17.1,9.7,6.5,13.0,37.85,49100,Maine-et-Loire,"Cizay-la-Madeleine, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,460.74999999999994,460.74999999999994,5528.999999999999,5528.999999999999,165.86999999999998,165.86999999999998,81000,80250,4012.5,4050.0,6420.0,6480.0,110.57999999999998,110.57999999999998,405.0,401.25,2211.5999999999995,2211.5999999999995,837.0905999999999,837.0905999999999,50,0,200,91530.0,90682.5,0.060406424123238274,0.06097097014308162,1552.9605999999999,1552.9605999999999,0.043439739975964155,0.043845718854244195
Cléré-sur-Layon,1568,881,2287,1372,549,2662,9.5,6.0,16.7,10.0,7.1,13.8,39.69,49102,Maine-et-Loire,"Cléré-sur-Layon, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,451.25,475.0,5415.0,5700.0,162.45,171.0,78400,68600,3430.0,3920.0,5488.0,6272.0,108.3,114.0,392.0,343.0,2166.0,2280.0,859.6854,904.932,50,0,200,88592.0,77518.0,0.06112290048762868,0.07353130885729765,1572.1354,1625.932,0.04337710628499187,0.052556412704146134
Cornillé-les-Caves,2395,1504,3467,2321,1019,3611,12.4,9.4,17.0,11.6,8.1,15.7,36.66,49107,Maine-et-Loire,"Cornillé-les-Caves, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,589.0,551.0,7068.0,6612.0,212.04,198.35999999999999,119750,116050,5802.5,5987.5,9284.0,9580.0,141.36,132.24,598.75,580.25,2827.2,2644.8,1036.4515199999998,969.5836800000001,50,0,200,135317.5,131136.5,0.052232711955216435,0.05042074479645255,1798.4915199999998,1717.94368,0.03894181077835461,0.037320321344553195
Coron,2277,1838,2828,1683,673,2583,10.5,7.9,17.7,9.5,6.2,12.0,48.82,49109,Maine-et-Loire,"Coron, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,498.75,451.25,5985.0,5415.0,179.54999999999998,162.45,113850,84150,4207.5,5692.5,6732.0,9108.0,119.7,108.3,569.25,420.75,2394.0,2166.0,1168.7508,1057.4412,50,0,200,128650.5,95089.5,0.046521389345552486,0.056946350543435394,1898.3008,1769.8912,0.031765902192373914,0.038333452168746285
Corzé,2293,1464,3099,2270,908,3517,11.0,7.7,19.4,9.5,6.0,11.4,52.82,49110,Maine-et-Loire,"Corzé, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,522.5,451.25,6270.0,5415.0,188.1,162.45,114650,113500,5675.0,5732.5,9080.0,9172.0,125.4,108.3,573.25,567.5,2508.0,2166.0,1324.7256,1144.0811999999999,50,0,200,129554.5,128255.0,0.048396620727184314,0.04222057619585981,2062.8256,1856.5312,0.032474166470481534,0.027745263732408095
Le Coudray-Macouard,2866,1936,3935,1904,935,3486,9.3,6.1,15.2,9.5,8.0,12.3,36.49,49112,Maine-et-Loire,"Le Coudray-Macouard, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,441.75000000000006,451.25,5301.000000000001,5415.0,159.03000000000003,162.45,143300,95200,4760.0,7165.0,7616.0,11464.0,106.02000000000002,108.3,716.5,476.0,2120.4000000000005,2166.0,773.7339600000003,790.3734000000001,50,0,200,161929.0,107576.0,0.032736569731178486,0.0503365062839295,1482.7639600000002,1502.8234,0.023579692581316508,0.036366630103368776
Courchamps,1620,1177,2410,1948,779,2936,11.2,8.0,19.3,10.0,5.5,12.7,42.39,49113,Maine-et-Loire,"Courchamps, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,532.0,475.0,6384.0,5700.0,191.51999999999998,171.0,81000,97400,4870.0,4050.0,7792.0,6480.0,127.68,114.0,405.0,487.0,2553.6,2280.0,1082.47104,966.492,50,0,200,91530.0,110062.0,0.06974762372992462,0.05178899165924661,1823.9910399999999,1687.492,0.04981982912706217,0.036456797078010576
Courléon,1549,997,2132,1474,590,2898,12.9,8.4,22.7,11.2,8.1,15.2,37.57,49114,Maine-et-Loire,"Courléon, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,612.75,532.0,7353.0,6384.0,220.59,191.51999999999998,77450,73700,3685.0,3872.5,5896.0,6196.0,147.06,127.68,387.25,368.5,2941.2,2553.6,1105.00884,959.3875199999999,50,0,200,87518.5,83281.0,0.08401652222101613,0.07665614005595514,1875.59884,1700.9075199999997,0.06258563800796402,0.05623242372209748
Denée,2805,1811,3788,2568,1027,4572,12.8,9.7,19.7,12.2,9.5,16.8,49.14,49120,Maine-et-Loire,"Denée, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,608.0,579.5,7296.0,6954.0,218.88,208.62,140250,128400,6420.0,7012.5,10272.0,11220.0,145.92000000000002,139.08,701.25,642.0,2918.4,2781.6,1434.10176,1366.87824,50,0,200,158482.5,145092.0,0.04603662864985093,0.04792821106608221,2202.98176,2125.49824,0.03213615534838231,0.03327889725139911
Dénezé-sous-Doué,2036,1247,4072,1945,778,3889,9.6,8.2,17.4,9.3,5.2,11.9,52.73,49121,Maine-et-Loire,"Dénezé-sous-Doué, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,456.0,441.75000000000006,5472.0,5301.000000000001,164.16,159.03000000000003,101800,97250,4862.5,5090.0,7780.0,8144.0,109.44,106.02000000000002,509.0,486.25,2188.8,2120.4000000000005,1154.15424,1118.0869200000002,50,0,200,115034.0,109892.5,0.04756854495192726,0.04823805082239462,1868.3142400000002,1827.1169200000002,0.03132713597718935,0.03161164847464568
Distré,2738,1849,3761,2283,913,3376,11.8,9.0,19.1,12.2,8.6,16.0,41.4,49123,Maine-et-Loire,"Distré, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,560.5,579.5,6726.0,6954.0,201.78,208.62,136900,114150,5707.5,6845.0,9132.0,10952.0,134.52,139.08,684.5,570.75,2690.4,2781.6,1113.8256,1151.5824,50,0,200,154697.0,128989.5,0.043478541923889925,0.05391136487853662,1865.6055999999999,1910.2024000000001,0.03141880191600354,0.03910238895413968
Brigné,1853,1161,3706,2019,808,3034,11.2,7.5,18.7,10.0,5.6,13.0,,49047,Maine-et-Loire,"Brigné, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,532.0,475.0,6384.0,5700.0,191.51999999999998,171.0,92650,100950,5047.5,4632.5,8076.0,7412.0,127.68,114.0,463.25,504.75,2553.6,2280.0,,,50,0,200,104694.5,114073.5,0.06097741524148833,0.04996778392878276,,,,
Durtal,1935,912,2258,1603,641,3000,9.1,6.2,16.1,9.6,6.8,13.0,49.73,49127,Maine-et-Loire,"Durtal, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,432.25,456.0,5187.0,5472.0,155.60999999999999,164.16,96750,80150,4007.5,4837.5,6412.0,7740.0,103.74000000000001,109.44,483.75,400.75,2074.8,2188.8,1031.7980400000001,1088.49024,50,0,200,109327.5,90569.5,0.04744460451396035,0.060417690282048596,1737.4080400000003,1802.65024,0.03155282943449726,0.04051418810968373
Écouflant,3078,2266,3819,2833,1651,4319,12.1,8.0,18.6,13.4,10.8,18.2,45.04,49129,Maine-et-Loire,"Écouflant, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,574.75,636.5,6897.0,7638.0,206.91,229.14,153900,141650,7082.5,7695.0,11332.0,12312.0,137.94,152.76,769.5,708.25,2758.8,3055.2,1242.56352,1376.06208,50,0,200,173907.0,160064.5,0.03965912815470338,0.04771826357499633,1999.47352,2155.20208,0.028161755881016867,0.03425367848586039
Écuillé,2301,1592,3063,2536,1206,4229,10.3,8.0,13.1,12.2,9.9,15.9,48.75,49130,Maine-et-Loire,"Écuillé, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,489.25,579.5,5871.0,6954.0,176.13,208.62,115050,126800,6340.0,5752.5,10144.0,9204.0,117.42,139.08,575.25,634.0,2348.4,2781.6,1144.845,1356.03,50,0,200,130006.5,143284.0,0.04515928049751359,0.04853298344546495,1870.975,2114.65,0.030767884682688942,0.033774531699282545
Épieds,1590,1152,2432,1683,739,2554,11.1,7.8,19.6,8.8,5.0,11.5,46.08,49131,Maine-et-Loire,"Épieds, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,527.25,418.00000000000006,6327.0,5016.000000000001,189.81,150.48000000000002,79500,84150,4207.5,3975.0,6732.0,6360.0,126.54,100.32000000000002,397.5,420.75,2530.8,2006.4000000000003,1166.1926400000002,924.5491200000001,50,0,200,89835.0,95089.5,0.07042912005343129,0.05275030366128753,1906.0026400000002,1625.0291200000001,0.04921241565091556,0.03566083405633641
Étriché,2105,1646,2797,2029,812,3551,10.5,8.4,14.1,10.9,7.7,13.0,52.3,49132,Maine-et-Loire,"Étriché, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,498.75,517.75,5985.0,6213.0,179.54999999999998,186.39,105250,101450,5072.5,5262.5,8116.0,8420.0,119.7,124.26,526.25,507.25,2394.0,2485.2,1252.062,1299.7595999999999,50,0,200,118932.5,114638.5,0.0503226620141677,0.05419645232622548,1981.6119999999999,2036.1495999999997,0.03366100939608602,0.03643497079951326
Feneu,2712,1768,3470,2626,1051,4667,12.4,9.4,16.9,12.3,8.6,17.2,50.35,49135,Maine-et-Loire,"Feneu, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,589.0,584.25,7068.0,7011.0,212.04,210.32999999999998,135600,131300,6565.0,6780.0,10504.0,10848.0,141.36,140.22,678.0,656.5,2827.2,2804.4,1423.4951999999998,1412.0154,50,0,200,153228.0,148369.0,0.04612733965071658,0.0472538063881269,2185.5352,2172.3454,0.031864050956744196,0.03261230176114956
Les Bois d'Anjou,2274,1197,4547,1896,759,3458,9.1,6.7,16.4,9.6,7.1,13.2,52.38,49138,Maine-et-Loire,"Les Bois d'Anjou, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,432.25,456.0,5187.0,5472.0,155.60999999999999,164.16,113700,94800,4740.0,5685.0,7584.0,9096.0,103.74000000000001,109.44,568.5,474.0,2074.8,2188.8,1086.7802400000003,1146.4934400000002,50,0,200,128481.0,107124.0,0.040371728115441194,0.05108099025428475,1792.3902400000002,1860.65344,0.026421103198138243,0.033711834509540343
Fontevraud-l'Abbaye,2280,1376,2926,1571,628,2802,10.2,8.5,12.3,9.2,6.7,12.8,41.44,49140,Maine-et-Loire,"Fontevraud-l'Abbaye, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,484.49999999999994,436.99999999999994,5813.999999999999,5243.999999999999,174.41999999999996,157.31999999999996,114000,78550,3927.5,5700.0,6284.0,9120.0,116.27999999999999,104.87999999999998,570.0,392.75,2325.5999999999995,2097.5999999999995,963.7286399999997,869.2454399999998,50,0,200,128820.0,88761.5,0.04513274336283185,0.059079668549990694,1688.1486399999997,1576.5654399999999,0.03202803415618692,0.041317852447288514
Grez-Neuville,2676,1643,3459,2753,1134,4612,12.2,9.3,18.3,12.8,10.7,17.8,46.06,49155,Maine-et-Loire,"Grez-Neuville, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,579.5,608.0,6954.0,7296.0,208.62,218.88,133800,137650,6882.5,6690.0,11012.0,10704.0,139.08,145.92000000000002,669.0,688.25,2781.6,2918.4,1281.20496,1344.21504,50,0,200,151194.0,155544.5,0.04599388864637485,0.04690619083284848,2039.82496,2113.09504,0.03250244745161845,0.03332104291697874
Ingrandes-Le Fresne sur Loire,2103,945,3459,2128,851,3313,11.0,6.8,17.2,11.4,7.8,14.2,43.35,49160,Maine-et-Loire,"Ingrandes-Le Fresne sur Loire, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,522.5,541.5,6270.0,6498.0,188.1,194.94,105150,106400,5320.0,5257.5,8512.0,8412.0,125.4,129.96,525.75,532.0,2508.0,2599.2,1087.218,1126.7531999999999,50,0,200,118819.5,120232.0,0.05276911618042493,0.05404551201011378,1825.3180000000002,1871.6932,0.03740700810893834,0.03847816554660989
La Jaille-Yvon,2341,1537,3128,1980,792,3961,12.2,9.6,17.2,11.3,8.3,16.3,43.52,49161,Maine-et-Loire,"La Jaille-Yvon, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,579.5,536.75,6954.0,6441.0,208.62,193.23,117050,99000,4950.0,5852.5,7920.0,9364.0,139.08,128.82,585.25,495.0,2781.6,2576.4,1210.55232,1121.2492800000002,50,0,200,132266.5,111870.0,0.05257567108829522,0.05757575757575758,1969.1723200000001,1864.4792800000002,0.03768775676380641,0.04090927612407258
Jarzé Villages,2147,1336,4294,2004,802,3180,10.9,7.7,19.4,9.2,5.9,11.2,49.95,49163,Maine-et-Loire,"Jarzé Villages, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,517.75,436.99999999999994,6213.0,5243.999999999999,186.39,157.31999999999996,107350,100200,5010.0,5367.5,8016.0,8588.0,124.26,104.87999999999998,536.75,501.0,2485.2,2097.5999999999995,1241.3574,1047.7511999999997,50,0,200,121305.5,113226.0,0.05121779309264625,0.04631445074452863,1977.7474000000002,1755.0711999999996,0.0349139371256868,0.030813848409375937
Saint-Jean-des-Mauvrets,2725,1969,3581,2891,1166,4324,13.1,10.1,18.1,13.6,9.1,18.8,,49290,Maine-et-Loire,"Saint-Jean-des-Mauvrets, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,622.25,646.0,7467.0,7752.0,224.01,232.56,136250,144550,7227.5,6812.5,11564.0,10900.0,149.34,155.04,681.25,722.75,2986.8,3100.8,,,50,0,200,153962.5,163341.5,0.04849882276528376,0.04745885154721856,,,,
Juvardeil,2041,1515,2805,2163,879,4326,12.2,7.9,20.8,9.6,7.3,13.4,48.87,49170,Maine-et-Loire,"Juvardeil, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,579.5,456.0,6954.0,5472.0,208.62,164.16,102050,108150,5407.5,5102.5,8652.0,8164.0,139.08,109.44,510.25,540.75,2781.6,2188.8,1359.36792,1069.6665600000001,50,0,200,115316.5,122209.5,0.06030359922474234,0.04477556982067679,2117.98792,1783.82656,0.04193686142052525,0.030179105879657473
La Lande-Chasles,2060,1139,4120,1945,846,3400,9.6,6.6,15.4,10.1,7.7,13.6,40.37,49171,Maine-et-Loire,"La Lande-Chasles, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,456.0,479.75,5472.0,5757.0,164.16,172.70999999999998,103000,97250,4862.5,5150.0,7780.0,8240.0,109.44,115.14,515.0,486.25,2188.8,2302.8,883.61856,929.6403600000001,50,0,200,116390.0,109892.5,0.04701434831171063,0.05238756057055759,1597.77856,1652.3503600000001,0.03328654901623851,0.03735149932888959
Huillé,2026,1527,2664,1743,697,2860,10.6,7.5,19.1,10.0,7.0,13.1,,49159,Maine-et-Loire,"Huillé, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,503.5,475.0,6042.0,5700.0,181.26,171.0,101300,87150,4357.5,5065.0,6972.0,8104.0,120.84,114.0,506.5,435.75,2416.8,2280.0,,,50,0,200,114469.0,98479.5,0.052782849505106186,0.05788006640976041,,,,
Le Lion-d'Angers,1981,1071,3105,2500,1000,3848,10.9,7.1,17.0,11.4,8.0,14.4,44.44,49176,Maine-et-Loire,"Le Lion-d'Angers, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,517.75,541.5,6213.0,6498.0,186.39,194.94,99050,125000,6250.0,4952.5,10000.0,7924.0,124.26,129.96,495.25,625.0,2485.2,2599.2,1104.4228799999999,1155.08448,50,0,200,111926.5,141250.0,0.055509642488597424,0.04600353982300885,1840.81288,1900.02448,0.039063020106945186,0.03255203907964602
Loiré,1797,822,3140,1438,575,2656,9.5,5.3,16.5,9.6,7.6,14.9,40.13,49178,Maine-et-Loire,"Loiré, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,451.25,456.0,5415.0,5472.0,162.45,164.16,89850,71900,3595.0,4492.5,5752.0,7188.0,108.3,109.44,449.25,359.5,2166.0,2188.8,869.2158000000001,878.36544,50,0,200,101530.5,81247.0,0.05333372730361812,0.0673501790835354,1581.6658,1592.52544,0.037755494161852844,0.04774914224525213
Longué-Jumelles,1812,1151,2418,1690,683,2972,9.1,6.3,15.9,9.8,7.3,13.8,40.4,49180,Maine-et-Loire,"Longué-Jumelles, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,432.25,465.50000000000006,5187.0,5586.000000000001,155.60999999999999,167.58,90600,84500,4225.0,4530.0,6760.0,7248.0,103.74000000000001,111.72000000000003,453.0,422.5,2074.8,2234.4000000000005,838.2192,902.6976000000002,50,0,200,102378.0,95485.0,0.050665181972689446,0.058501335288265184,1543.8292000000001,1620.2776000000003,0.03558548516282795,0.04153241242079909
Louresse-Rochemenier,2072,1269,4144,2013,887,3168,11.5,8.0,20.3,10.8,5.9,13.6,40.8,49182,Maine-et-Loire,"Louresse-Rochemenier, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,546.25,513.0,6555.0,6156.0,196.65,184.68,103600,100650,5032.5,5180.0,8052.0,8288.0,131.1,123.12,518.0,503.25,2622.0,2462.4,1069.7759999999998,1004.6591999999999,50,0,200,117068.0,113734.5,0.05599309802849626,0.05412605673740158,1816.426,1739.3392,0.04047710732224007,0.03883307879315423
Le Louroux-Béconnais,1939,995,3386,2144,858,3187,10.6,8.6,14.9,11.1,8.5,17.6,47.08,49183,Maine-et-Loire,"Le Louroux-Béconnais, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,503.5,527.25,6042.0,6327.0,181.26,189.81,96950,107200,5360.0,4847.5,8576.0,7756.0,120.84,126.54,484.75,536.0,2416.8,2530.8,1137.82944,1191.50064,50,0,200,109553.5,121136.0,0.05515113620285979,0.05223055078589354,1869.08944,1931.31064,0.038090161975655734,0.036287225597675346
Marcé,2365,1624,3153,2130,1130,3459,10.4,8.4,14.0,11.8,10.0,16.2,49.02,49188,Maine-et-Loire,"Marcé, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,494.0,560.5,5928.0,6726.0,177.84,201.78,118250,106500,5325.0,5912.5,8520.0,9460.0,118.56,134.52,591.25,532.5,2371.2,2690.4,1162.36224,1318.8340800000003,50,0,200,133622.5,120345.0,0.04436378603902786,0.05588931821014583,1890.20224,2070.6140800000003,0.030217948025220303,0.038683667123686066
Maulévrier,2641,2061,3141,1972,822,2930,11.2,8.0,19.3,9.7,6.3,12.6,42.43,49192,Maine-et-Loire,"Maulévrier, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,532.0,460.74999999999994,6384.0,5528.999999999999,191.51999999999998,165.86999999999998,132050,98600,4930.0,6602.5,7888.0,10564.0,127.68,110.57999999999998,660.25,493.0,2553.6,2211.5999999999995,1083.49248,938.3818799999998,50,0,200,149216.5,111418.0,0.04278347233717451,0.04962393868136207,1825.0124799999999,1654.2518799999998,0.030552837789386566,0.034776679890143415
Le May-sur-Èvre,2461,1953,3276,1833,751,2841,11.8,8.0,19.4,12.3,8.5,15.6,46.94,49193,Maine-et-Loire,"Le May-sur-Èvre, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,560.5,584.25,6726.0,7011.0,201.78,210.32999999999998,123050,91650,4582.5,6152.5,7332.0,9844.0,134.52,140.22,615.25,458.25,2690.4,2804.4,1262.87376,1316.38536,50,0,200,139046.5,103564.5,0.048372307105896226,0.06769694248511797,2014.65376,2076.71536,0.03388324222472338,0.04764455619444887
Mazé-Milon,2621,1285,5243,2284,1030,3596,11.5,8.2,17.4,12.1,9.7,17.2,57.82,49194,Maine-et-Loire,"Mazé-Milon, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,546.25,574.75,6555.0,6897.0,196.65,206.91,131050,114200,5710.0,6552.5,9136.0,10484.0,131.1,137.94,655.25,571.0,2622.0,2758.8,1516.0404,1595.1381600000002,50,0,200,148086.5,129046.0,0.044264669635652135,0.05344605799482355,2262.6904,2352.0481600000003,0.028985151246062272,0.03521962586984486
Mazières-en-Mauges,2575,2189,3182,2390,956,3273,12.0,9.0,18.0,9.8,6.6,12.3,40.77,49195,Maine-et-Loire,"Mazières-en-Mauges, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,570.0,465.50000000000006,6840.0,5586.000000000001,205.2,167.58,128750,119500,5975.0,6437.5,9560.0,10300.0,136.8,111.72000000000003,643.75,597.5,2736.0,2234.4000000000005,1115.4672,910.9648800000002,50,0,200,145487.5,135035.0,0.04701434831171063,0.04136705298626283,1870.6672,1628.5448800000004,0.03415642443508893,0.029306884289258345
Longuenée-en-Anjou,2724,1605,3546,2788,1269,3917,10.4,8.4,15.2,13.9,10.2,19.3,52.98,49200,Maine-et-Loire,"Longuenée-en-Anjou, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,494.0,660.25,5928.0,7923.0,177.84,237.69,136200,139400,6970.0,6810.0,11152.0,10896.0,118.56,158.46,681.0,697.0,2371.2,3169.2,1256.2617599999999,1679.04216,50,0,200,153906.0,157522.0,0.03851701688043351,0.05029773618923071,1984.10176,2466.73216,0.02562537029095682,0.034638132070440954
La Ménitré,2332,1252,4663,2118,902,3700,11.5,8.2,18.8,11.6,9.5,17.7,46.33,49201,Maine-et-Loire,"La Ménitré, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,546.25,551.0,6555.0,6612.0,196.65,198.35999999999999,116600,105900,5295.0,5830.0,8472.0,9328.0,131.1,132.24,583.0,529.5,2622.0,2644.8,1214.7726,1225.33584,50,0,200,131758.0,119667.0,0.049750299792042985,0.055253327985158814,1961.4225999999999,1973.6958399999999,0.03486374565491279,0.03876009392731496
Miré,1882,1005,2379,1574,654,2735,11.0,6.5,19.5,10.0,7.1,13.9,49.61,49205,Maine-et-Loire,"Miré, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,522.5,475.0,6270.0,5700.0,188.1,171.0,94100,78700,3935.0,4705.0,6296.0,7528.0,125.4,114.0,470.5,393.5,2508.0,2280.0,1244.2188,1131.108,50,0,200,106333.0,88931.0,0.0589657020868404,0.06409463516658982,1982.3188,1852.108,0.040323147094505,0.04326828664919994
Montigné-lès-Rairies,1870,897,2256,1697,679,2666,10.6,7.4,18.8,9.4,6.0,11.3,43.26,49209,Maine-et-Loire,"Montigné-lès-Rairies, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,503.5,446.5,6042.0,5358.0,181.26,160.73999999999998,93500,84850,4242.5,4675.0,6788.0,7480.0,120.84,107.16,467.5,424.25,2416.8,2143.2,1045.50768,927.1483199999999,50,0,200,105655.0,95880.5,0.0571861246509867,0.055882061524501855,1776.76768,1637.88832,0.04036943183001278,0.03879946057853265
Montilliers,2178,1144,3213,1662,665,2563,12.0,7.9,20.0,9.8,6.6,12.2,44.23,49211,Maine-et-Loire,"Montilliers, Maine-et-Loire, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,570.0,465.50000000000006,6840.0,5586.000000000001,205.2,167.58,108900,83100,4155.0,5445.0,6648.0,8712.0,136.8,111.72000000000003,544.5,415.5,2736.0,2234.4000000000005,1210.1327999999999,988.2751200000001,50,0,200,123057.0,93903.0,0.05558399765962115,0.05948691735088337,1965.3328,1705.8551200000002,0.03961308336787017,0.041320776546010254
