ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,prix_global,min_global,max_global,loyer_global,loyer_min_global,loyer_max_global,ratio_m2_apt,ratio_m2_msn,ratio_m2_glb,Taux_Global_TFB,Code_insee,Code_postal,Departement,geo,INDICE_TENSION_LOG,CROI_POP_16_22,
Saint-Christophe-du-Ligneron,2689,1923,3515,2279,911,3320,11.3,9.1,18.9,11.5,7.9,14.4,2484,1417,3417.5,11.4,8.5,16.65,5.04,6.06,5.51,0.4415,85204,85670,Vendée,"Saint-Christophe-du-Ligneron, Vendée, France",0.376,4.49,
Saint-Cyr-des-Gâts,1564,1101,2375,1521,609,2746,9.6,6.3,11.6,10.3,7.3,13.4,1542.5,855,2560.5,9.95,6.8,12.5,7.37,8.13,7.74,0.3403,85205,85410,Vendée,"Saint-Cyr-des-Gâts, Vendée, France",0.257,1.12,
Saint-Cyr-en-Talmondais,2045,1318,3173,1522,609,3025,9.5,7,16.4,10.7,6.9,14.2,1783.5,963.5,3099,10.1,6.95,15.3,5.57,8.44,6.80,0.3181,85206,85540,Vendée,"Saint-Cyr-en-Talmondais, Vendée, France",0.264,6.38,
Saint-Denis-du-Payré,1714,929,2668,2000,912,3387,10.6,6.2,18.4,11,8.6,14,1857,920.5,3027.5,10.8,7.4,16.2,7.42,6.60,6.98,0.3617,85207,85580,Vendée,"Saint-Denis-du-Payré, Vendée, France",0.279,7.55,
Saint-Denis-la-Chevasse,2186,1330,3377,2035,814,3171,12.8,9.2,18.2,11.2,7.8,13.4,2110.5,1072,3274,12,8.5,15.8,7.03,6.60,6.82,0.3915,85208,85170,Vendée,"Saint-Denis-la-Chevasse, Vendée, France",0.407,5.48,
Saint-Étienne-de-Brillouet,1541,1078,2341,1536,614,2798,10.9,8,13.8,11.4,8.4,14.4,1538.5,846,2569.5,11.15,8.2,14.1,8.49,8.91,8.70,0.377,85209,85210,Vendée,"Saint-Étienne-de-Brillouet, Vendée, France",0.318,1.16,
Saint-Étienne-du-Bois,2493,1453,3395,2022,809,3536,10.1,6.2,15.7,11.3,7.5,14,2257.5,1131,3465.5,10.7,6.85,14.85,4.86,6.71,5.69,0.3497,85210,85670,Vendée,"Saint-Étienne-du-Bois, Vendée, France",0.369,7.09,
Sainte-Flaive-des-Loups,2179,1365,3390,2499,1000,3799,11.1,8.4,18.3,11.2,7.9,14.1,2339,1182.5,3594.5,11.15,8.15,16.2,6.11,5.38,5.72,0.3539,85211,85150,Vendée,"Sainte-Flaive-des-Loups, Vendée, France",0.397,7.33,
Sainte-Florence,1722,1178,2611,2118,847,3274,11.3,8.8,20.2,11.3,8.8,14.4,1920,1012.5,2942.5,11.3,8.8,17.3,7.87,6.40,7.06,0.3386,85212,85140,Vendée,"Sainte-Florence, Vendée, France",,,
Rives de l'Yon,2087,1321,3285,2101,840,3188,11.1,8.2,18.2,10.4,6.9,14,2094,1080.5,3236.5,10.75,7.55,16.1,6.38,5.94,6.16,0.4491,85213,85310,Vendée,"Rives de l'Yon, Vendée, France",0.402,3.48,
Sainte-Foy,2360,1604,3122,3162,1649,4540,14.1,10.3,21.5,12.5,8.6,15.6,2761,1626.5,3831,13.3,9.45,18.55,7.17,4.74,5.78,0.3269,85214,85150,Vendée,"Sainte-Foy, Vendée, France",0.449,22.55,
Saint-Fulgent,1854,1229,2494,2007,803,3222,10.8,7.6,19.4,10.9,7.6,14.4,1930.5,1016,2858,10.85,7.6,16.9,6.99,6.52,6.74,0.3456,85215,85250,Vendée,"Saint-Fulgent, Vendée, France",0.422,3.62,
Sainte-Gemme-la-Plaine,1538,1109,2332,2003,801,3274,11.1,8.4,18.6,11.5,8,13.3,1770.5,955,2803,11.3,8.2,15.95,8.66,6.89,7.66,0.4088,85216,85400,Vendée,"Sainte-Gemme-la-Plaine, Vendée, France",0.386,1.22,
Saint-Georges-de-Pointindoux,2417,1475,3285,2439,975,4009,11.1,8.4,18.4,11.4,8,14.4,2428,1225,3647,11.25,8.2,16.4,5.51,5.61,5.56,0.3469,85218,85150,Vendée,"Saint-Georges-de-Pointindoux, Vendée, France",0.396,10.17,
Saint-Germain-de-Prinçay,1591,1129,2463,1761,704,2869,9.4,5.6,15.1,9.4,6.8,14.2,1676,916.5,2666,9.4,6.2,14.65,7.09,6.41,6.73,0.3405,85220,85110,Vendée,"Saint-Germain-de-Prinçay, Vendée, France",0.374,8.38,
Saint-Gervais,2583,1378,3524,2557,1090,3778,11.4,9.3,19.6,11.9,8.1,14.8,2570,1234,3651,11.65,8.7,17.2,5.30,5.58,5.44,0.475,85221,85230,Vendée,"Saint-Gervais, Vendée, France",0.381,5,
Saint-Gilles-Croix-de-Vie,4358,2583,6541,4448,2024,7359,12.8,9.3,19.6,13.4,10.1,16.8,4403,2303.5,6950,13.1,9.7,18.2,3.52,3.62,3.57,0.4324,85222,85800,Vendée,"Saint-Gilles-Croix-de-Vie, Vendée, France",0.34,7.53,
Saint-Jean-d'Hermine,1551,1107,2372,1835,734,2383,11.4,9.1,18.5,11.4,7.7,14.3,1693,920.5,2377.5,11.4,8.4,16.4,8.82,7.46,8.08,0.4499,85223,85210,Vendée,"Saint-Jean-d'Hermine, Vendée, France",0.38,2.72,
Saint-Hilaire-de-Riez,2907,1598,5311,3672,1938,5536,14.2,9.2,25.5,13.4,9.3,17,3289.5,1768,5423.5,13.8,9.25,21.25,5.86,4.38,5.03,0.358,85226,85270,Vendée,"Saint-Hilaire-de-Riez, Vendée, France",0.407,16.96,
Saint-Hilaire-des-Loges,1285,667,2349,1510,604,2567,9.2,6,13.4,9.6,6.9,11.6,1397.5,635.5,2458,9.4,6.45,12.5,8.59,7.63,8.07,0.4144,85227,85240,Vendée,"Saint-Hilaire-des-Loges, Vendée, France",0.302,-3.1,
